county,employed,out_of_work,total,dis_er,ndis_er,gap,prevalence,sh,no_qual,4p_hc,mh,no_partner,cluster_gp
Barnsley,13900,19400,33300,41.8,80.9,39.1,22.3,31.3,17.2,37.3,41.1,43.6,1
Blackburn with Darwen UA,6600,12200,18800,35.2,72.6,37.5,20.8,32,20.9,32,38.3,43,1
Blackpool UA,8100,13600,21700,37.3,79.8,42.5,26,15.2,18.7,34.6,43.9,47.8,1
Blaenau Gwent,4700,7300,12000,39.4,74.4,34.9,27.7,34.7,23.1,28.2,44.6,41.7,1
Bolton,16600,19700,36300,45.7,76,30.4,21,31.9,19.9,30.1,35.3,44.6,1
Bridgend,7800,11900,19700,39.3,81.2,41.9,22.8,27.4,20.9,41.3,50.4,46,1
Caerphilly,9300,17700,27000,34.5,78.3,43.9,24.1,31.5,19.4,41.4,51.3,43,1
Carmarthenshire,10100,13300,23400,43.1,76.8,33.7,21.5,22,18.6,38.8,36,40,1
County Durham UA,30200,46100,76300,39.5,77.7,38.2,23.6,33.6,21.3,34,42,49.3,1
Doncaster,13600,20400,34000,40.1,77,36.9,18.3,26.7,24,32.9,34.2,44.4,1
Dundee City,6300,11800,18100,34.8,71.4,36.5,18.9,47.1,19.3,34.1,54.1,59.9,1
East Ayrshire,6200,11100,17300,35.8,78.3,42.6,22.8,45.4,26.1,37.6,47.8,49.2,1
Gateshead,10700,13900,24600,43.6,80,36.4,19.5,42.6,14.3,32.3,38.7,48.1,1
Glasgow City,24700,63100,87800,28.2,75.5,47.3,21.5,53.3,29,29.8,49.3,63.3,1
Halton UA,6900,9400,16300,42.1,81.1,38.9,20.9,42.8,17.2,37.4,41.4,47.8,1
Hartlepool UA,4800,9600,14400,33.6,73.4,39.8,25,35.8,22.4,38.6,40.3,46.5,1
Inverclyde,3600,7200,10800,33.2,78.9,45.7,21.8,47.1,26.7,35.9,49.4,59,1
"Kingston Upon Hull, City of UA",13400,24900,38300,35.1,75.5,40.4,23,43.5,21.7,34.4,39.4,48.7,1
Knowsley,8000,14800,22800,35.3,77.8,42.5,24.8,40.5,27.6,33.6,43.4,53.2,1
Liverpool,17900,52200,70100,25.6,70.2,44.6,22,46.5,25,33.6,49.4,64.9,1
Manchester,26400,48200,74600,35.4,70.6,35.2,20.5,43.8,21.5,28.1,46.9,62.7,1
Merthyr Tydfil,3400,5600,9000,37.4,76.8,39.3,24.4,33.9,23.2,37.1,47.6,52.8,1
Middlesbrough UA,5900,10700,16600,35.4,69.2,33.8,18.8,36.5,21.7,30.3,38.6,48.4,1
Neath Port Talbot,7600,14800,22400,34,78.4,44.4,25.8,34.7,23,39,47.9,46.5,1
Newcastle upon Tyne,15400,24900,40300,38.2,72.3,34.1,20.4,43.6,19.8,36.4,45.6,51.7,1
Newport,8100,11400,19500,41.4,77.7,36.3,21.4,32.5,17.3,30.2,43.7,50.2,1
North Ayrshire,7600,11600,19200,39.4,74.7,35.3,23.1,40.8,23.4,33.9,44.1,44.8,1
North Lanarkshire,18000,28300,46300,39,80.5,41.6,21.5,51.3,25.3,35,47.5,48.9,1
Pembrokeshire,6700,7900,14600,46,79.6,33.6,20.5,31.7,17.5,36.2,37.5,42.9,1
Redcar and Cleveland UA,6000,11600,17600,34.2,76.7,42.5,21.6,31.7,16.5,39.1,45.7,44.4,1
Renfrewshire,10100,12800,22900,44.2,81.7,37.5,20.6,38.2,16.9,30.9,42.8,52.3,1
"Rhondda, Cynon, Taff",14100,22600,36700,38.4,78.8,40.4,24.9,23.7,20.1,39,42.2,41.1,1
Rochdale,12200,20400,32600,37.3,72.5,35.2,24.4,37.9,24.7,27.8,41.2,53.6,1
Rotherham,13300,22100,35400,37.7,78.4,40.8,22.4,40.2,16.7,30.2,41,50.5,1
Salford,13800,18700,32500,42.6,77.2,34.6,20.5,38.5,18.1,28.6,39.5,49.8,1
South Ayrshire,5100,7900,13000,39.1,80.2,41.1,19.5,36.6,20.8,40.6,47.3,50.1,1
South Tyneside,8600,12300,20900,41.1,77.5,36.4,22.4,46.6,17.4,34,40.6,47.8,1
St. Helens,10500,14600,25100,42,76,34,22.7,36.8,18.6,30.7,38.6,50.5,1
Sunderland,14600,27800,42400,34.6,74.6,40.1,24.2,44.8,18.6,38.8,37.4,49.9,1
Swansea,15300,17800,33100,46.1,75.8,29.6,21.8,28.2,21.1,31.6,44,48.8,1
Tameside,14100,17700,31800,44.4,78,33.6,22.9,31.3,17.2,29.5,39.1,50.7,1
Torfaen,6800,7400,14200,47.6,78.7,31.1,25.2,36.5,16.2,33.3,39.1,41.2,1
Wakefield,22000,25400,47400,46.4,78.7,32.4,23,36.8,19,35.8,41.6,43.3,1
West Dunbartonshire,5600,8600,14200,39.4,79,39.6,24.9,50.7,22.9,26.8,41.3,51.4,1
Wirral,16600,26200,42800,38.8,76.8,38.1,22.1,23.4,17.4,28.6,39,50.9,1
Aberdeen City,12200,13100,25300,48.2,82.8,34.6,16,45.4,18.6,27.7,37.3,56.5,2
Barking and Dagenham,8800,11600,20400,43.2,71,27.7,16.2,52.2,20.3,30.1,31.6,47.9,2
Birmingham,50700,92000,142700,35.6,67.8,32.3,20.4,36.9,26,24.4,35.8,56.9,2
Bradford,22200,37100,59300,37.4,71.5,34.1,18.2,27.8,25.9,21.9,32.1,47.3,2
Camden,14100,19700,33800,41.8,73.6,31.8,20.4,66.5,21,27.3,30.5,62,2
Coventry,14500,22300,36800,39.3,71,31.7,16.6,33.1,29.3,15.7,31.2,52.8,2
Dudley,16200,22000,38200,42.4,78.1,35.8,19.9,33,28.4,23.2,28.2,39.7,2
Dumfries and Galloway,7200,9900,17100,41.8,82.4,40.6,19.3,34,22.8,20.1,32.9,40,2
East Lothian,4500,5300,9800,45.9,80.1,34.1,15.8,43.5,16.3,23.6,43.3,50,2
Falkirk,7900,11300,19200,40.9,81.7,40.8,19.2,43.7,20.3,26.4,37.3,55.1,2
Greenwich,14800,18600,33400,44.1,76.7,32.5,18.4,53.2,17.1,34.5,37.4,50.6,2
Hackney,13200,19600,32800,40.4,75.3,34.9,17.3,68.7,20.6,21.4,32,57,2
Hammersmith and Fulham,6800,8600,15400,43.9,81.4,37.4,12.2,54.1,9.6,28.1,43.3,60.2,2
Haringey,13000,15500,28500,45.8,74.7,28.9,15.2,48.7,22,22.6,28,63.4,2
Havering,11800,12500,24300,48.7,82.3,33.6,15.8,35.1,21.5,26.7,37.9,37.8,2
Hounslow,13400,13100,26500,50.6,77.2,26.6,14.7,39.3,16.7,23.6,28.2,46.6,2
Islington,9000,14900,23900,37.7,76.4,38.7,14.5,74.5,25.2,20.3,33.2,63.3,2
Kensington and Chelsea,7000,8100,15100,46.6,73.6,27,14.1,61.4,11.6,24.5,34.4,60.4,2
Lambeth,17700,16800,34500,51.5,83.7,32.2,14.6,54.9,16.9,19.4,38.1,72.8,2
Leeds,41100,47100,88200,46.6,77.5,30.9,17.5,37.1,16.1,21.1,37.3,46.5,2
Lewisham,18300,13500,31800,57.5,78.3,20.7,15.6,46.7,19,22.9,32.8,59,2
Luton UA,10200,12800,23000,44.5,72.5,27.9,16.8,20.3,28.5,20.4,29,40.4,2
Moray,4200,5900,10100,41.7,82.4,40.7,17.6,38.7,17.9,23.8,37.2,46.1,2
Newham,12100,16700,28800,42,69.3,27.3,12.6,44.2,21,24.5,29.9,46,2
Nottingham UA,18200,25900,44100,41.2,70.4,29.2,20.6,42.8,19.7,27.3,40.2,50.9,2
Oldham,10800,17500,28300,38.2,71.3,33,20.1,31,24.5,23.1,37.2,47,2
Sandwell,14200,22000,36200,39.2,70.8,31.6,18.4,38.4,32.9,22.9,34,41,2
Southwark,13300,16400,29700,44.7,79.1,34.4,13.5,62.6,18.5,24.2,41.1,66.9,2
Stirling,4300,4700,9000,48,77.4,29.4,15.9,37.8,19.7,21.4,40.2,53.7,2
Stoke-on-Trent UA,14400,20200,34600,41.7,76.5,34.8,22,36.3,30.9,23.1,31.2,47.6,2
Tower Hamlets,14400,16600,31000,46.5,75,28.5,14.6,64.4,22.6,20.6,41.9,60.2,2
Walsall,11600,19900,31500,36.7,73,36.3,18.8,39.4,31.2,23.1,35.3,45.6,2
Waltham Forest,12700,13900,26600,47.6,76.1,28.5,14.8,33.7,26.1,20.7,31.9,52.8,2
West Lothian,8200,13700,21900,37.6,83.7,46.1,19.2,41.6,14.8,25.3,39.4,45.3,2
Westminster,14800,17500,32300,45.8,71.2,25.4,18.7,53.4,10.8,29.1,35.5,57.2,2
Wolverhampton,12700,21100,33800,37.6,70.9,33.4,21.5,39.9,29.2,21.3,33.9,53,2
"Anglesey, Isle of",3900,4000,7900,48.8,79.8,31,19.6,25.8,15.4,31.5,31.7,46,3
Angus,5300,6600,11900,44.3,80.5,36.2,17,37.4,15.6,29.9,31.8,48.3,3
Brighton and Hove UA,21400,20400,41800,51.2,79.3,28.1,21.3,27.7,10,22.9,43.4,55.9,3
"Bristol, City of UA",29400,28200,57600,51.1,79.3,28.3,19.2,30.3,14.4,28.9,45.5,49,3
Bury,10800,14000,24800,43.6,79.5,35.9,21.5,26.8,18.3,24.9,40.2,49.1,3
Calderdale,11600,11100,22700,50.9,80.4,29.6,17.6,26.6,15.2,21.7,34.4,42.5,3
Cardiff,19100,24700,43800,43.6,72.8,29.2,18.4,37.7,17.3,32.2,44.8,56.6,3
Ceredigion,4000,4600,8600,47.1,69.4,22.3,18.5,20,14.7,25.4,29.2,48.6,3
Cheshire West and Chester UA,13700,18100,31800,43.2,79.9,36.7,15.6,28.3,18.9,28.3,30.5,44.4,3
Clackmannanshire,2500,4000,6500,38.5,77.4,39,20.6,36.2,15.3,22.7,41.2,37.6,3
Conwy,5100,8200,13300,38.2,79.2,41,20.4,27.2,12.3,27.6,40.9,39.4,3
Cornwall UA,29900,30000,59900,49.8,80.9,31,18.7,21.4,10.9,31.6,39.4,41.1,3
Croydon,20200,19100,39300,51.5,78.8,27.3,16.2,27.1,7.6,34.2,34.2,52.7,3
Cumbria,28400,30100,58500,48.5,83,34.5,19.7,28.3,12.3,24.3,30.7,40.7,3
Darlington UA,4600,6800,11400,39.8,79.2,39.4,17.9,23.8,18.2,33,42.7,48.4,3
Denbighshire,5400,6500,11900,45.6,78,32.3,21.7,20.1,12.1,25.9,31,44.2,3
Derby UA,13300,12900,26200,50.8,78.2,27.4,16.6,28.4,18.1,26,34.6,44,3
Derbyshire,46900,45200,92100,50.9,82,31.1,19.1,26.9,11.2,23.9,32.3,33.2,3
East Riding of Yorkshire UA,18500,16300,34800,53.2,82.6,29.4,17.5,16.4,16.5,28.6,33.9,31.5,3
East Sussex,29600,30800,60400,49.1,79.4,30.3,19.4,16.3,14.3,30.1,37.1,45.3,3
Fife,18400,23800,42200,43.7,80,36.2,18.6,32.4,13.7,34.7,36.1,48.7,3
Flintshire,7200,9100,16300,44,78.7,34.6,17.3,24.7,15.4,18.7,32.1,43,3
Gwynedd,5900,7400,13300,44.2,75.1,30.9,18.3,26.8,18.2,15.6,28.1,44.1,3
"Herefordshire, County of UA",6800,9000,15800,43.3,83.2,39.9,14.4,33.3,16.1,29.2,29.5,46.3,3
Highland,11200,10900,22100,50.6,84.2,33.6,15.7,23.5,10.5,34.9,42.6,42.9,3
Isle of Wight UA,7300,8400,15700,46.7,77.7,31.1,20.5,20.3,11,32.8,44.2,43.9,3
Kent,86800,82200,169000,51.4,80,28.6,18.4,26.3,11.5,27.7,38,42.7,3
Kirklees,19900,28100,48000,41.5,75.7,34.2,17.8,25.8,21.7,23.7,29.4,40.5,3
Lancashire,59000,80400,139400,42.3,80,37.7,19.2,25,18.2,23.4,36,42.4,3
Leicester UA,19200,22900,42100,45.5,68.2,22.7,18.9,31.6,20.1,22.7,31.5,46.4,3
Lincolnshire,42000,42500,84500,49.7,79.9,30.2,19.4,22.4,12.9,29.3,34.5,34.6,3
Medway UA,19400,17800,37200,52.1,76.1,24,21.4,25,17,29.5,35.1,38.6,3
Midlothian,5100,5100,10200,50,79.8,29.8,18.9,37.9,17.7,25.3,30,40.9,3
Milton Keynes UA,12400,13000,25400,48.9,79.7,30.8,15.3,30.4,18.2,26.1,34.8,41.7,3
Monmouthshire,5100,4600,9700,53.3,81.7,28.4,17.7,29.9,10.9,25.7,32.8,36.6,3
Norfolk,43300,49200,92500,46.8,81.4,34.6,17.9,27.5,17.2,25.2,34.2,42.3,3
North East Lincolnshire UA,6700,9700,16400,40.6,76.8,36.2,16.7,22.4,20.3,33.7,41.1,48.7,3
North Lincolnshire UA,8000,10200,18200,43.8,79.4,35.6,17.6,24.5,15,34.6,36.6,40.7,3
North Tyneside,13200,11500,24700,53.2,81,27.8,19.5,34.6,11,29.2,40.8,43.7,3
Northumberland UA,17500,17700,35200,49.8,78.5,28.7,18.8,28.2,13.1,30.1,40.5,39.4,3
Nottinghamshire,45000,57700,102700,43.8,80.8,36.9,20.8,23.4,18.2,27.9,32.7,42.6,3
Perth and Kinross,7200,6500,13700,52.8,82.5,29.8,15.4,26.2,12.7,31.4,31.4,39.2,3
Peterborough UA,9800,10500,20300,48.4,80.6,32.2,17,26.6,17.5,19.3,35.5,48.2,3
Plymouth UA,17200,18400,35600,48.4,80,31.6,21.3,29.5,9,39.9,46,48.3,3
Portsmouth UA,13600,12300,25900,52.5,75.3,22.8,18.8,33.1,13.5,22,38.7,51.7,3
Redbridge,15100,15200,30300,49.7,72.8,23.1,15.9,16.9,15.9,25.1,17.6,41.2,3
"Scot Borders, The",5000,5200,10200,49.1,81.8,32.7,15,34.9,10.7,35.2,45.2,50.7,3
Sefton,15200,17800,33000,46.2,79.4,33.2,20.2,28,15.2,32.9,42.7,45.9,3
Sheffield,34600,41200,75800,45.7,75.8,30.1,20.6,33.8,14.2,28.5,40.5,53.2,3
Solihull,8400,10700,19100,43.8,77.8,34,15.2,31.6,18.3,23.1,32,49.4,3
South Lanarkshire,17900,20700,38600,46.5,82.2,35.6,19.2,34.8,19.4,27.8,37,47.5,3
Southend-on-Sea UA,9300,9700,19000,48.8,79.3,30.5,17.4,24.4,18,25,35.6,41.9,3
Staffordshire,43100,45100,88200,48.9,81.1,32.2,16.7,26.3,15.7,24.5,32.1,41.3,3
Stockton-on-Tees UA,10500,12300,22800,46.2,79,32.7,19,29,18.6,27.6,45.1,45.2,3
Suffolk,43100,41200,84300,51.2,82.5,31.3,19.5,29.5,14.3,26.2,40.6,37.2,3
Sutton,7300,10300,17600,41.5,81.9,40.4,13.8,33.4,7.4,27.8,44.8,46.8,3
Swindon,13900,12400,26300,52.8,82.8,30,18.8,34.8,12.6,27,40.5,47.9,3
Telford and Wrekin,9900,11300,21200,46.9,79.7,32.8,19.9,25.6,17.2,20.2,32.2,46.6,3
Thurrock UA,9300,9800,19100,48.4,78.4,30,18.3,31.8,19.2,28.4,30,45.2,3
Torbay,7300,8400,15700,46.7,80,33.4,21.2,19.1,12,35.1,45.6,55.5,3
"Vale of Glamorgan, The",5200,7000,12200,42.2,79.2,37,16.1,19.1,13.9,35,43.2,46.7,3
Warrington UA,11600,10500,22100,52.5,82.9,30.3,17.3,28.1,10.2,30.4,39.6,44.4,3
Wigan,17400,20900,38300,45.5,83.5,38,19.2,33.1,18.4,28.6,40.9,48,3
Wrexham,8700,8700,17400,49.8,81.7,31.8,20.7,33.5,13.5,20.2,36.4,41.3,3
Aberdeenshire,13800,11400,25200,54.8,85.5,30.8,15.4,27.4,8.5,25.1,34.1,42.4,4
Argyll & Bute,4000,3800,7800,52.2,80.6,28.5,15.3,28.2,15.9,22.3,34.4,44.5,4
Barnet,16200,18100,34300,47.1,74.3,27.2,14.1,34.4,9.4,15.6,23.4,46.2,4
Bath and North East Somerset UA,11200,8500,19700,56.6,79.3,22.8,17.2,23.7,8.1,20.5,31.8,47,4
Bedford UA,7500,5400,12900,58.5,82.3,23.8,12.8,27.4,13.6,14.1,30.7,35.6,4
Bexley,13800,9300,23100,59.6,79.5,19.9,15.4,25,11.3,22.5,26.3,39.9,4
Bournemouth UA,9500,10500,20000,47.6,76.3,28.7,16,18,10.7,25,40.1,50.2,4
Bracknell Forest UA,7700,3600,11300,68.8,84.6,15.8,14.7,19.5,6.4,17.9,35,37.5,4
Brent,15300,17100,32400,47.1,73.3,26.1,15,35.8,6.8,21.5,25.8,50.5,4
Bromley,14300,15200,29500,48.4,79.6,31.2,14.8,24,12.1,22.1,27.7,46.1,4
Buckinghamshire,23000,16900,39900,57.6,82.3,24.8,12.6,21.1,8.2,19.4,27.8,39.8,4
Cambridgeshire,40600,28200,68800,59,83.8,24.8,17,21.6,9.7,22.7,35.3,41.3,4
Central Bedforshire UA,18500,12600,31100,59.5,82.9,23.4,18.1,17.4,13.2,15.5,24.5,39.7,4
Cheshire East UA,19800,18500,38300,51.7,81,29.4,16.8,23.6,11.7,19.4,33.3,36,4
Devon,36900,30700,67600,54.6,82.1,27.4,15,22.2,9,31.4,37.9,38.6,4
Dorset,24200,16700,40900,59.2,82.7,23.4,17.8,24.3,6.8,25.7,40.4,42.2,4
Ealing,15300,16200,31500,48.4,74.7,26.3,14,32.6,14.2,19.9,23.8,43.4,4
East Dunbartonshire,4300,4600,8900,48,78,30,13.5,18.3,13.8,26.3,32.1,42.6,4
East Renfrewshire,3800,3900,7700,49.7,79,29.3,13.7,20.2,15.1,21.4,42,42.1,4
"Edinburgh, City of",19700,22200,41900,46.9,76.4,29.5,12.5,30.9,12,18.4,39.1,53.9,4
"Eilean Siar, Orkney & Shetland",3600,2000,5600,64.1,85.2,21.2,13.1,19.7,9.7,29.5,37,44.1,4
Enfield,19200,17200,36400,52.8,75.1,22.3,17.5,30.2,8.1,19.8,24.4,51.1,4
Essex,78700,69400,148100,53.1,80.4,27.3,16.9,24.9,14.8,20.6,31.2,40.7,4
Gloucestershire,35500,21100,56600,62.7,82.6,19.9,15.1,23.2,9.5,18.2,26.3,41.9,4
Hampshire,73900,52700,126600,58.4,83.9,25.5,15.6,28,8.2,20.7,32.5,36.8,4
Harrow,10700,8600,19300,55.2,76.1,20.9,12.2,19,6.7,14,20,43.5,4
Hertfordshire,60800,37600,98400,61.8,81.8,20,13.6,30.5,12,20.1,32.2,41.4,4
Hillingdon,14900,15000,29900,49.8,78.9,29.1,15.3,29.1,12.7,18.1,21.7,55.1,4
Kingston upon Thames,7700,6400,14100,54.3,77.7,23.4,12.5,27.3,4.9,14.8,35.3,46.2,4
Leicestershire,40400,29500,69900,57.7,81.2,23.4,16.8,25.4,11.7,18.3,31.7,36.5,4
Merton,8800,7300,16100,54.5,81.3,26.8,11.8,25.6,11.5,28.8,22.2,47.9,4
North Somerset UA,11700,9200,20900,55.7,81.9,26.2,17.3,18.8,8.9,26.4,38.1,42.9,4
North Yorkshire,33700,27200,60900,55.4,83.5,28.1,17.3,18.7,10.5,22.4,30.7,38.8,4
Northamptonshire,37500,33600,71100,52.7,84,31.3,16,24,13,22.1,29.5,41.5,4
Oxfordshire,29000,24600,53600,54.1,81.9,27.8,12.6,29.2,10.3,14.3,34.4,46,4
Poole UA,8900,6800,15700,56.7,82.4,25.7,17.4,17.1,12.4,25,35.7,42.9,4
Powys,7900,6000,13900,56.4,83.4,27,18.5,19.7,12.1,23.2,33.3,40.8,4
Reading UA,8500,6400,14900,57.1,77.1,20,13.7,22.7,11.2,21.3,31.5,53.8,4
Richmond upon Thames,8000,5200,13200,60.6,79.9,19.2,10.7,21.2,6.1,11.7,27.6,55.6,4
Shropshire UA,14500,13200,27700,52.5,84.2,31.8,15.2,24.7,10.6,20.5,32.1,43.8,4
Slough UA,8000,7100,15100,52.7,76.9,24.2,15.9,26.2,16,20.7,32,46.1,4
Somerset,32000,25100,57100,56,83.2,27.1,18.1,25,11,23.2,35,40.5,4
South Gloucestershire UA,17600,10400,28000,63,84.5,21.5,16.5,17.1,11.3,25.2,31.8,41.5,4
Southampton UA,16900,12000,28900,58.4,76.9,18.6,17.3,33.1,9.4,24.2,40.2,49.4,4
Stockport,14900,12900,27800,53.7,82.2,28.5,16,23.6,12.4,23.5,38.4,43.7,4
Surrey,61800,40000,101800,60.7,80.6,19.9,14.3,24.9,10.7,21.2,30.1,37.2,4
Trafford,11900,11200,23100,51.5,82.1,30.6,15.9,22.6,11.1,23,32.7,47.2,4
Wandsworth,10600,11000,21600,49.1,82.7,33.6,9.7,39,11.6,26.4,30.9,63.6,4
Warwickshire,29400,25600,55000,53.5,82.2,28.8,16.3,27.2,12.4,18.4,26.7,43.8,4
West Berkshire UA,6800,4100,10900,62.8,85.5,22.7,11.5,17.5,8.6,19.6,35.2,32.1,4
West Sussex,45700,38000,83700,54.6,83.6,29,17.1,23.3,9,22.7,32.3,41.8,4
Wiltshire UA,26500,20500,47000,56.4,83.8,27.5,16.5,31.4,7.7,25.2,34.8,36.6,4
Windsor and Maidenhead UA,6300,3200,9500,67,81.4,14.4,10.6,20.9,4,15.1,27.3,37.6,4
Wokingham UA,6500,4500,11000,58.5,81.4,22.9,11.2,16.4,8.3,21,25.9,44.7,4
Worcestershire,30100,25700,55800,54,80.7,26.8,16,29.6,15.3,19.9,36.4,40.8,4
York UA,12400,8900,21300,58,78.5,20.5,15.9,22.1,7.3,20.2,35.2,45,4
Northern Ireland,74200,154700,228900,32.4,77.3,44.9,19.7,28.4,28.4,16.9,36.7,50.6,2
